Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
21387075951,Inga GLASSY Water Glow Lip Tint (SNOWY / GLASSY _ 13 màu),"250,0k",100k+,INGA VN Official Store,"25,5%",₫62.500,https://shopee.vn/product/826944227/21387075951,https://s.shopee.vn/5fgOHyTFCb
6194112672,Nước Hoa Tóc & Cơ Thể - Hair & Body Mist SKINLAX 100ml,"261,0k",30k+,Skinlax - Gian Hàng Chính Hãng,"22,5%",₫57.420,https://shopee.vn/product/179893523/6194112672,https://s.shopee.vn/5VMy5fTsXa
23318918089,Dầu Tắm ÔLIV 3X Dưỡng Ẩm/Dưỡng Sáng Da/Dành Cho Làn Da Nhạy Cảm 250ML/650ML/1L,"74,0k",50k+,LASHE SUPERFOOD | PURITÉ,"22,5%",₫16.280,https://shopee.vn/product/779659055/23318918089,https://s.shopee.vn/5L3XtMUVsZ
29060062205,Usams Wireless Power bank 5000 / 10000mAh Sạc từ tính không dây Sạc nhanh USB-C Đầu vào / Ra cho iP16 15 14 13 12 Series,"383,9k",9k+,USAMS Official Shop,"20,5%",₫76.780,https://shopee.vn/product/408923716/29060062205,https://s.shopee.vn/6VFVHVQ4Vo
